Prov Number,Clinic,Division,District,Specialty,Region,Prenatal Care,Postpartum Care,Imm: Child Combo 2,Antidep Med: Contacts,Antidep Med: 84 Days,Antidep Med: 180 Days,Mental Hosp FU: 7 Day,Total PMPM,PCP consult ratio n M'car,PCP consult ratio M'care,% Female-non medicare,% Female-medicare,Avg Age-non medicare,Avg Age-medicare,Panel size-non medicare,Panel size-medicare,ER Visits/1000 non M'care,ER Visits/1000 M'care,% panel vst seen by PCP,% PCP schedule for panel,URI: Appropriate Tx,Pharyngitis: Testing,AOD: Initiation of Tx,Util: 1st Line antib use,ER Visit/1000 non-m'care,PCI ratio non-m'care,MRI/1000 enr-m'care,MRI/1000 enr-NON m'care,CT/1000enr-m'care,CT/1000enr-non m'care,Lab/1000 enr-m'care,Lab/1000 enr-NON m'care,% Generic Rx,CAD: Chol Mgt-LDL Screen,Well-Child Visit 15MO: 6+,Well-Child 3-6 YO,Well-Care Adolescent,Asthma Appropriate Meds,Screen: Chlamydia,Panel - % Medicare,PCP consult ratio,CT-MRI/1000enr-m'care,CT-MRI/1000enr-non m'care,CT-MRI/1000enr-m'care&non,AOD: Engagement of Tx,CAD: Beta Blocker Persist,Total panel size,Panel Inx:agg Pat inx #2,Controlling HBP,Panel Inx:agg Pat inx #1,Child Access 7-11YO,DM: HbA1c Test,DM: Retinal Exam,DM: LDL Screen (Annual),DM: LDL<100 (Annual),DM: LDL<130,DM: Nephropathy,Pri Care Qlty Incent Idx,Screen: Breast CA (40-69),Screen: Cervical CA,Listen carefully to you?,Explain understandably?,Spend enough time w/ you?,Respect what you said?,Your best interests 1st?,Info to diagnose/treat,Knowledge of medical hx,Helpful-clinical staff,Courtesy/Respect-clinical,Helpful-office staff,In exam room w/in 15 min,Wait time explanation,Clinician rating (0-10),Help/advice you needed,Urgent care when wanted,Appt for care when wanted,Get PCP you're happy with,Ease of seeing specialist,Get care believed nec,Overall Health Care,Courtesy/Respect-office
0,pra_pri_svc_ctr_abr,div_abr,dst_abr,pri_med_spl_des,rgn_abr,d26,d27,d56,d60,d61,d62,d69,d265,d269,d270,d486,d487,d488,d489,d490,d491,d498,d499,d510,d511,d513,d514,d517,d530,d535,d540,d560,d561,d562,d563,d564,d565,d566,d603,d612,d613,d614,d615,d617,d618,d619,d620,d621,d622,d623,d628,d641,d646,d652,d653,d658,d664,d667,d668,d669,d670,d671,d675,d680,d682,d10001,d10002,d10003,d10004,d10005,d10006,d10007,d10008,d10009,d10010,d10011,d10012,d10013,d10014,d10015,d10016,d10017,d10018,d10019,d10020,d10022
1,FED,GPD,TAC,FAMILY MEDICINE,SO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.3333333333, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,TSC,GPD,TAC,"SURGERY, GENERAL",SO, , , , , , , , , , , , , , , , , , , , , , , ,0.6666666667, , , , , , , , ,0.9863013699, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.88,0.92,0.76,0.88,0.875,0.8260869565,0.7391304348,0.84,0.96,0.84,1,1,0.7083333333,0.4545454545,0.7142857143,0.6363636364,0.875,0.8260869565,0.8636363636,0.7916666667,0.84
8,ESC,GPD,KNG,"SURGERY, ORTHOPEDIC",EAST, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,CWI,GPD,SEA,URGENT CARE,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0.74, , , , , , , , ,0.870846731, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.84,0.72,0.84,0.72,0.76,0.68,0.5714285714,0.8,0.84,0.88,0.8095238095,0.7777777778,0.8,0.5454545455,0.5217391304,0.5238095238,0.8181818182,0.8,0.8571428571,0.6956521739,0.88
13,SIL,GPD,KIT,FAMILY MEDICINE,SO, , , , , , , , , , , , , , , , , , , ,0, , , ,0.9375, , , , , , , , ,0.9790794979, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.8181818182,0.9090909091,0.7727272727,0.8181818182,0.8181818182,0.8181818182,0.7,0.9130434783,0.9130434783,0.8260869565,1,0.6666666667,0.8181818182,0.652173913,0.4583333333,0.5416666667,0.9166666667,0.9090909091,0.9090909091,0.75,0.9130434783
14,EVM,GPD,SNOH,FAMILY MEDICINE,EAST, , , , , , , , , , , , , , , , , , , ,0, , , ,0.4759358289, , , , , , , , ,0.7816513761, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.68,0.76,0.72,0.8,0.7916666667,0.6956521739,0.7142857143,0.72,0.76,0.72,0.8636363636,0.6666666667,0.7083333333,0.6666666667,0.6363636364,0.5714285714,0.7142857143,0.7619047619,0.7619047619,0.5909090909,0.84
20,OLY,GPD,OLY,"SURGERY, ORTHOPEDIC",SO, , , , , , , , , , , , , , , , , , , , , , , ,0.84375, , , , , , , , ,0.961147086, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.8571428571,0.8035714286,0.75,0.875,0.8909090909,0.8035714286,0.7321428571,0.8035714286,0.9107142857,0.8,0.9454545455,0.6666666667,0.8113207547,0.6037735849,0.6,0.4705882353,0.7592592593,0.8269230769,0.8461538462,0.679245283,0.8727272727
24,VSO,HPD,GHO,FAMILY MEDICINE,GHO, , , , , , , , , , , , , , , , , , , , , , , ,0.3333333333, , , , , , , , ,0.8571428571, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,ROC,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , ,0, , , ,0.431372549, , , , , , , , ,0.8324324324, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,BVU,GPD,KNG,URGENT CARE,EAST, , , , , , , , , , , , , , , , , , , , , , , ,0.5454545455, , , , , , , , ,0.8679962013, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.9285714286,0.7692307692,0.6428571429,0.8571428571,0.6428571429,0.7142857143,0.6428571429,0.7857142857,0.9285714286,0.9285714286,1,1,0.7857142857,0.5384615385,0.5833333333,0.3076923077,0.7692307692,0.6363636364,0.6666666667,0.5833333333,0.9285714286
36,NON,HPD,-,CARDIOLOGY,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39,TSC,GPD,TAC,RADIOLOGY,SO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.4857142857, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40,TSC,GPD,TAC,ONCOLOGY/HEMATOLOGY,SO, , , , , , , , , , , , , , , , , , , , , , , ,0.5588235294, , , , , , , , ,0.5280224179, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.9,0.9,0.85,0.9,0.9,0.85,0.85,0.9,0.95,0.9,0.9473684211,0.6666666667,0.9,0.6666666667,0.625,0.5555555556,0.8333333333,0.9473684211,1,0.8947368421,0.9
43,CSC,GPD,SEA,PEDIATRICS,CENT, , , , , , , , , , ,1, ,18, ,1, , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48,NON,HPD,-,GERONTOLOGY/GERIATRICS,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51,BRN,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52,BVU,GPD,KNG,"SURGERY, ORTHOPEDIC",EAST, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,0.777027027, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.8367346939,0.7959183673,0.693877551,0.8367346939,0.875,0.8333333333,0.693877551,0.7755102041,0.8571428571,0.8333333333,0.9591836735,0.8888888889,0.8571428571,0.6904761905,0.5384615385,0.4090909091,0.8444444444,0.847826087,0.9130434783,0.6739130435,0.875
53,NON,HPD,-,GASTROENTEROLOGY,-, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,0.5542168675, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54,BVU,GPD,KNG,URGENT CARE,EAST, , , , , , , , , , , , , , , , , , , , , , , ,0.5837563452, , , , , , , , ,0.8713789108, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.7916666667,0.8333333333,0.8333333333,0.875,0.7916666667,0.875,0.6086956522,0.6666666667,0.875,0.875,0.9,0.8571428571,0.7083333333,0.6666666667,0.65,0.3684210526,0.7894736842,0.7368421053,0.8888888889,0.7,0.875
57,NON,HPD,-,OPHTHALMOLOGY,-, , , , , , , , , , , , , , , , , , , , , , , ,0.4117647059, , , , , , , , ,0.2010050251, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
61,NON,HPD,-,PEDIATRIC HEMATOLOGY/ONCOLOGY,-, , , , , , , , , , , , , , , , , , , , , , , ,0.5, , , , , , , , ,0.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
62,CSC,GPD,SEA,OPHTHALMOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
69,BVU,GPD,KNG,RADIOLOGY,EAST, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.4545454545, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72,NON,HPD,-,PHYSIATRY,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,CSC,GPD,SEA,PHYSIATRY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
