"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,33138,,
"AUT","Austria","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,31667,,
"BEL","Belgium","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,28700,,
"CAN","Canada","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,30474,,
"CZE","Czech Republic","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,18953,,
"DNK","Denmark","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,26945,,
"FIN","Finland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,28238,,
"FRA","France","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29759,,
"DEU","Germany","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,31925,,
"GRC","Greece","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,18099,,
"HUN","Hungary","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,15614,,
"ISL","Iceland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,27918,"E","Estimated value"
"IRL","Ireland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,22969,,
"ITA","Italy","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,25004,,
"JPN","Japan","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,27323,,
"KOR","Korea","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,19372,,
"LUX","Luxembourg","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,40914,"E","Estimated value"
"MEX","Mexico","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,12806,,
"NLD","Netherlands","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,27759,,
"NZL","New Zealand","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,23213,"E","Estimated value"
"NOR","Norway","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,33393,,
"POL","Poland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,17820,,
"PRT","Portugal","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,19882,,
"SVK","Slovak Republic","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,18534,,
"ESP","Spain","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,22007,,
"SWE","Sweden","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,28859,,
"CHE","Switzerland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,35952,,
"TUR","Turkey","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,13471,"E","Estimated value"
"GBR","United Kingdom","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,26687,,
"USA","United States","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,41071,,
"BRA","Brazil","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,11487,"E","Estimated value"
"CHL","Chile","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,15094,"E","Estimated value"
"EST","Estonia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,16565,,
"ISR","Israel","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,22116,"E","Estimated value"
"RUS","Russia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,17006,,
"SVN","Slovenia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,19130,,
"OECD","OECD - Total","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29016,,
"AUS","Australia","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,33138,"E","Estimated value"
"AUT","Austria","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,31667,"E","Estimated value"
"BEL","Belgium","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,28700,"E","Estimated value"
"CAN","Canada","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,30474,"E","Estimated value"
"CZE","Czech Republic","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,18953,"E","Estimated value"
"DNK","Denmark","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,26945,"E","Estimated value"
"FIN","Finland","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,28238,"E","Estimated value"
"FRA","France","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,29759,"E","Estimated value"
"DEU","Germany","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,31925,"E","Estimated value"
"GRC","Greece","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,18099,"E","Estimated value"
"HUN","Hungary","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,15614,"E","Estimated value"
"ISL","Iceland","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,27918,"E","Estimated value"
"IRL","Ireland","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,22969,"E","Estimated value"
"ITA","Italy","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,25004,"E","Estimated value"
"JPN","Japan","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,27323,"E","Estimated value"
"KOR","Korea","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,19372,"E","Estimated value"
"LUX","Luxembourg","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,40914,"E","Estimated value"
"MEX","Mexico","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,12806,"E","Estimated value"
"NLD","Netherlands","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,27759,"E","Estimated value"
"NZL","New Zealand","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,23213,"E","Estimated value"
"NOR","Norway","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,33393,"E","Estimated value"
"POL","Poland","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,17820,"E","Estimated value"
"PRT","Portugal","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,19882,"E","Estimated value"
